VID,FrameID,Color,Texture,Edge
1,0,3.4609,3.29,15.43391927
1,0,4.52219,3.348,15.50530599
1,0,10.71576,3.308,12.21376953
1,0,14.66643,3.305,12.29235026
1,0,12.60831,3.307,12.35100911
1,0,11.67317,3.278,12.77047526
1,0,10.63514,3.301,12.69521484
1,0,10.45922,3.29,11.77438151
1,0,8.09542,3.314,11.90276693
1,0,7.78062,3.321,12.28238932
1,0,7.1578,3.317,12.34326172
1,0,7.54037,3.308,11.62164714
1,0,10.73669,3.286,11.18889974
1,0,12.45637,3.283,10.65045573
1,0,8.28153,3.291,11.40914714
1,0,5.69264,3.294,11.76940104
1,0,5.15774,3.295,12.7538737
1,0,3.58767,3.317,12.74833984
1,0,2.48061,3.307,12.82415365
1,0,3.64995,3.328,12.87561849
1,0,2.60189,3.317,12.65813802
1,0,2.3181,3.311,13.03997396
1,0,3.64495,3.308,12.9016276
1,0,7.5429,3.316,13.60996094
1,0,7.95031,3.316,14.46051432
1,0,3.11601,3.342,14.91761068
1,0,2.16613,3.333,14.45553385
1,0,1.80989,3.332,14.1235026
1,0,8.26433,3.253,13.20377604
1,0,14.2286,3.161,12.79482422
1,0,16.82235,3.113,11.8391276
1,0,13.36375,3.209,11.72513021
1,0,12.39105,3.284,11.7367513
1,0,10.36464,3.288,12.13961589
1,0,9.53467,3.29,12.34436849
1,0,10.51421,3.292,12.39251302
1,0,7.86049,3.294,12.47220052
1,0,3.76372,3.285,12.84462891
1,0,3.76353,3.265,13.9110026
1,0,2.67078,3.268,13.69684245
1,0,4.57128,3.27,13.7671224
1,0,3.81437,3.265,13.31334635
1,0,4.0157,3.285,12.47220052
1,0,17.23293,3.188,11.75003255
1,0,20.43552,3.098,11.73509115
1,0,12.75998,3.272,12.4616862
1,0,9.52758,3.321,13.69407552
1,0,9.21783,3.325,13.9530599
